,Mut_num,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
NRAP,19,18,500,0.04,No
PTPRZ1,20,18,500,0.04,No
PZP,18,18,500,0.04,No
SCN3A,22,18,500,0.04,No
SMARCA4,21,18,500,0.04,Yes
TRPM2,21,18,500,0.04,No
VWF,19,18,500,0.04,No
TRRAP,21,18,500,0.04,Yes
PPFIA2,25,18,500,0.04,No
TSPOAP1,23,18,500,0.04,No
NCOR1,21,18,500,0.04,Yes
PDE4DIP,18,18,500,0.04,Yes
ST18,20,18,500,0.04,No
USP34,21,18,500,0.04,No
RIMS1,24,18,500,0.04,No
SPEN,25,18,500,0.04,Yes
ADGRL2,20,18,500,0.04,No
SZT2,22,18,500,0.04,No
SYNM,18,18,500,0.04,No
UBR4,20,18,500,0.04,No
NIPBL,20,18,500,0.04,No
MXRA5,25,18,500,0.04,No
GON4L,18,18,500,0.04,No
ATP10A,23,18,500,0.04,No
SHROOM4,19,18,500,0.04,No
PCDH10,20,18,500,0.04,No
ADAMTS12,21,18,500,0.04,No
FCRL5,20,18,500,0.04,No
TNKS1BP1,22,18,500,0.04,No
CEP295,19,18,500,0.04,No
NLRP3,22,18,500,0.04,No
SORCS1,25,18,500,0.04,No
OR2T4,20,18,500,0.04,No
MROH2B,23,18,500,0.04,No
TRPM6,23,18,500,0.04,No
WDR66,18,18,500,0.04,No
DNAH2,28,18,500,0.04,No
FAM47A,21,18,500,0.04,No
SPAG17,20,18,500,0.04,No
HMCN2,20,18,500,0.04,No
CFAP47,23,18,500,0.04,No
FREM2,20,18,500,0.04,No
PTPRQ,26,18,500,0.04,No
PNPLA7,21,18,500,0.04,No
SOGA3,18,18,500,0.04,No
KIF1A,20,17,500,0.03,No
COL4A4,28,17,500,0.03,No
COL15A1,20,17,500,0.03,No
DYNC1H1,21,17,500,0.03,No
EPHA3,22,17,500,0.03,Yes
ERBB4,21,17,500,0.03,Yes
FLNA,33,17,500,0.03,No
GRM1,20,17,500,0.03,No
KCNB1,17,17,500,0.03,No
AFDN,19,17,500,0.03,Yes
MYH8,19,17,500,0.03,No
NEFH,19,17,500,0.03,No
OVGP1,19,17,500,0.03,No
PCDH9,20,17,500,0.03,No
PCNT,17,17,500,0.03,No
PDE1C,17,17,500,0.03,No
ROBO1,20,17,500,0.03,Yes
SNAPC4,20,17,500,0.03,No
SVIL,19,17,500,0.03,No
PRDM2,18,17,500,0.03,No
PXDN,21,17,500,0.03,No
USP9X,18,17,500,0.03,No
BSN,20,17,500,0.03,No
NRXN3,19,17,500,0.03,No
NCOR2,22,17,500,0.03,Yes
RIMS2,18,17,500,0.03,No
KMT2B,20,17,500,0.03,Yes
TRANK1,20,17,500,0.03,No
SMG1,21,17,500,0.03,Yes
HECW1,20,17,500,0.03,No
MYCBP2,18,17,500,0.03,No
PPRC1,19,17,500,0.03,No
SARM1,18,17,500,0.03,No
PLXND1,18,17,500,0.03,No
CRB1,19,17,500,0.03,No
TIAM2,18,17,500,0.03,No
CPAMD8,18,17,500,0.03,No
VPS13C,18,17,500,0.03,No
TASOR2,18,17,500,0.03,No
NLRP2,18,17,500,0.03,No
CCDC88A,17,17,500,0.03,No
NYNRIN,20,17,500,0.03,No
IRF2BPL,21,17,500,0.03,No
CPLANE1,20,17,500,0.03,No
CTTNBP2,17,17,500,0.03,No
LRRIQ1,18,17,500,0.03,No
CHD6,19,17,500,0.03,No
TCHHL1,18,17,500,0.03,No
GIMAP8,17,17,500,0.03,No
ADAMTS16,19,17,500,0.03,No
FAM83B,17,17,500,0.03,No
BRWD3,22,17,500,0.03,No
BCL9L,19,17,500,0.03,Yes
MROH2A,18,17,500,0.03,No
ABCB5,17,17,500,0.03,No
ITIH6,19,17,500,0.03,No
PTCHD3,19,17,500,0.03,No
A2M,17,16,500,0.03,No
ADCY7,19,16,500,0.03,No
BRCA2,19,16,500,0.03,Yes
CHD1,19,16,500,0.03,No
ABCC2,16,16,500,0.03,No
COL3A1,24,16,500,0.03,No
COL7A1,21,16,500,0.03,No
CR2,16,16,500,0.03,No
MEGF8,21,16,500,0.03,No
MECOM,19,16,500,0.03,Yes
MTOR,18,16,500,0.03,Yes
GLI1,16,16,500,0.03,Yes
HIVEP1,18,16,500,0.03,No
TNC,18,16,500,0.03,No
ITPR1,18,16,500,0.03,No
LTBP3,19,16,500,0.03,No
MAP1A,18,16,500,0.03,No
MAP2,19,16,500,0.03,No
KMT2A,17,16,500,0.03,Yes
MYH6,20,16,500,0.03,No
MYH11,17,16,500,0.03,Yes
NOS1,18,16,500,0.03,No
REV3L,20,16,500,0.03,No
TGIF1,16,16,500,0.03,No
TCHH,17,16,500,0.03,No
MADCAM1,17,16,500,0.03,No
SLIT2,22,16,500,0.03,No
NRXN2,18,16,500,0.03,No
AKAP12,20,16,500,0.03,No
PITPNM1,17,16,500,0.03,No
ESPL1,17,16,500,0.03,No
CEP350,17,16,500,0.03,No
NES,20,16,500,0.03,No
GCN1,16,16,500,0.03,No
LILRB5,17,16,500,0.03,No
FRMPD1,16,16,500,0.03,No
SLITRK3,21,16,500,0.03,No
PLCH1,17,16,500,0.03,No
UNC13A,21,16,500,0.03,No
KIF21B,17,16,500,0.03,No
NCOA6,17,16,500,0.03,No
CUL9,21,16,500,0.03,No
EPB41L3,17,16,500,0.03,No
NACAD,18,16,500,0.03,No
NBEAL2,19,16,500,0.03,No
PLCB1,21,16,500,0.03,No
ICE1,23,16,500,0.03,No
ZFPM2,17,16,500,0.03,No
PLXNB2,18,16,500,0.03,No
AUTS2,18,16,500,0.03,No
ABCA12,17,16,500,0.03,No
KCNH5,17,16,500,0.03,No
PCDH17,17,16,500,0.03,No
CFAP44,18,16,500,0.03,No
PCDHB10,17,16,500,0.03,No
TEX15,20,16,500,0.03,No
RPGRIP1,18,16,500,0.03,No
RALGAPA2,18,16,500,0.03,No
ARFGEF3,17,16,500,0.03,No
KIAA1211,18,16,500,0.03,No
KCNT1,16,16,500,0.03,No
NYAP2,18,16,500,0.03,No
PHRF1,19,16,500,0.03,No
GALNT17,17,16,500,0.03,No
NDST4,19,16,500,0.03,No
ADGB,18,16,500,0.03,No
MYH14,18,16,500,0.03,No
FRAS1,19,16,500,0.03,No
KIF2B,17,16,500,0.03,No
PRRC2B,17,16,500,0.03,No
KNDC1,18,16,500,0.03,No
KCNH7,16,16,500,0.03,No
ADAMTSL1,18,16,500,0.03,No
GRIN3A,16,16,500,0.03,No
C10ORF71,17,16,500,0.03,No
WDR90,17,16,500,0.03,Yes
NUTM1,18,16,500,0.03,Yes
MALRD1,18,16,500,0.03,No
DCDC1,24,16,500,0.03,No
PLIN4,18,16,500,0.03,No
AOX1,17,15,500,0.03,No
ATR,16,15,500,0.03,Yes
CDH1,16,15,500,0.03,Yes
CDH4,16,15,500,0.03,No
CHAT,15,15,500,0.03,No
CYP11B1,15,15,500,0.03,No
DGKB,15,15,500,0.03,No
EIF4G1,16,15,500,0.03,No
EVPL,23,15,500,0.03,No
FANCA,15,15,500,0.03,Yes
GLI3,20,15,500,0.03,No
GRIA1,16,15,500,0.03,No
GRIK2,17,15,500,0.03,No
GRIK3,17,15,500,0.03,No
KCNH1,20,15,500,0.03,No
KCNN3,16,15,500,0.03,No
MKI67,20,15,500,0.03,Yes
MYO1F,17,15,500,0.03,No
MYO10,16,15,500,0.03,No
NID1,15,15,500,0.03,No
NOTCH2,16,15,500,0.03,Yes
NUMA1,15,15,500,0.03,Yes
PC,15,15,500,0.03,Yes
PDE3A,19,15,500,0.03,No
PGR,15,15,500,0.03,Yes
PRKCG,16,15,500,0.03,No
PTPRM,16,15,500,0.03,No
RREB1,16,15,500,0.03,No
ATXN2,15,15,500,0.03,Yes
SCN4A,16,15,500,0.03,No
ITSN1,15,15,500,0.03,No
SLC4A3,17,15,500,0.03,No
SPTB,18,15,500,0.03,No
TIAM1,21,15,500,0.03,No
TRIO,18,15,500,0.03,No
CLIP2,16,15,500,0.03,No
NUP214,15,15,500,0.03,Yes
EOMES,15,15,500,0.03,No
LTBP4,15,15,500,0.03,No
PPFIA3,16,15,500,0.03,No
ZMYM3,15,15,500,0.03,Yes
CROCC,19,15,500,0.03,No
HDAC4,16,15,500,0.03,Yes
PCNX1,16,15,500,0.03,No
EXPH5,15,15,500,0.03,No
ASTN2,16,15,500,0.03,No
WDR7,16,15,500,0.03,No
HECTD1,15,15,500,0.03,No
CHD5,19,15,500,0.03,No
INTS1,20,15,500,0.03,No
OR7E24,16,15,500,0.03,No
CNTN5,16,15,500,0.03,No
BNC2,16,15,500,0.03,No
RNF43,17,15,500,0.03,Yes
ASXL2,16,15,500,0.03,Yes
PCDHA2,18,15,500,0.03,No
ANKS1B,17,15,500,0.03,No
PREX1,17,15,500,0.03,No
ZSWIM6,17,15,500,0.03,No
SPTBN4,15,15,500,0.03,No
ARHGEF28,16,15,500,0.03,Yes
PLEKHG2,19,15,500,0.03,No
SPEF2,19,15,500,0.03,No
DOCK5,17,15,500,0.03,No
CGNL1,15,15,500,0.03,No
ZFHX2,16,15,500,0.03,No
ZNF835,18,15,500,0.03,No
NUP210L,16,15,500,0.03,No
MAL2,16,15,500,0.03,No
TMEM132B,16,15,500,0.03,No
MED12L,18,15,500,0.03,No
FAM186A,18,15,500,0.03,No
TDRD9,16,15,500,0.03,No
TSHZ2,17,15,500,0.03,No
EGFLAM,16,15,500,0.03,No
AMER1,16,15,500,0.03,Yes
RBMXL3,21,15,500,0.03,No
USP54,15,15,500,0.03,No
NRK,21,15,500,0.03,No
THSD7A,17,15,500,0.03,No
ANKRD31,18,15,500,0.03,No
OTOGL,19,15,500,0.03,No
CD163L1,16,15,500,0.03,No
NLRP10,18,15,500,0.03,No
TGM6,16,15,500,0.03,No
ATP13A5,17,15,500,0.03,No
ELFN1,16,15,500,0.03,No
GPR179,18,15,500,0.03,No
ANK1,16,14,500,0.03,No
ATP1A2,15,14,500,0.03,No
ADGRB1,23,14,500,0.03,No
BRAF,16,14,500,0.03,Yes
C6,15,14,500,0.03,No
CDH8,16,14,500,0.03,No
CDH9,16,14,500,0.03,No
CDH10,16,14,500,0.03,No
COL1A2,20,14,500,0.03,No
DNMT3A,16,14,500,0.03,Yes
GABRG2,14,14,500,0.03,No
ITGAD,14,14,500,0.03,No
ABCC1,14,14,500,0.03,No
MYO9A,19,14,500,0.03,No
MYO9B,15,14,500,0.03,No
ROR2,15,14,500,0.03,No
PCSK6,14,14,500,0.03,No
PGK2,15,14,500,0.03,No
PIK3CG,15,14,500,0.03,Yes
POLE,14,14,500,0.03,Yes
POLR2A,14,14,500,0.03,No
PTCH1,15,14,500,0.03,Yes
PTPRH,16,14,500,0.03,No
PTPRS,19,14,500,0.03,Yes
SLIT3,15,14,500,0.03,No
SPTBN1,19,14,500,0.03,No
TJP1,17,14,500,0.03,No
UTRN,16,14,500,0.03,No
KAT6A,14,14,500,0.03,Yes
SORBS2,17,14,500,0.03,No
MYH13,15,14,500,0.03,No
DLGAP2,18,14,500,0.03,No
MAGED1,16,14,500,0.03,Yes
ADAMTS2,16,14,500,0.03,No
DOCK4,17,14,500,0.03,No
FRMPD4,16,14,500,0.03,No
SRGAP3,15,14,500,0.03,No
MRC2,17,14,500,0.03,No
ABCC9,15,14,500,0.03,No
LRPPRC,14,14,500,0.03,No
FRY,14,14,500,0.03,No
TNK2,18,14,500,0.03,No
STAG1,15,14,500,0.03,Yes
UNC13B,15,14,500,0.03,No
POLQ,14,14,500,0.03,Yes
CHL1,15,14,500,0.03,No
PNPLA6,14,14,500,0.03,No
ADAMTS8,17,14,500,0.03,No
PLEKHA6,14,14,500,0.03,No
CNOT1,16,14,500,0.03,No
MYO16,16,14,500,0.03,No
ZNF292,15,14,500,0.03,No
TOGARAM1,15,14,500,0.03,No
PSME4,14,14,500,0.03,No
PHLPP1,15,14,500,0.03,No
CAMSAP2,16,14,500,0.03,No
MTUS2,20,14,500,0.03,No
ZFYVE26,16,14,500,0.03,No
RTTN,14,14,500,0.03,No
GEMIN5,14,14,500,0.03,No
SIN3A,14,14,500,0.03,No
KIF26A,15,14,500,0.03,No
MORC1,16,14,500,0.03,No
SALL3,18,14,500,0.03,No
DISC1,14,14,500,0.03,No
SETD2,17,14,500,0.03,Yes
DROSHA,17,14,500,0.03,Yes
CTNNA3,15,14,500,0.03,No
ANKRD11,18,14,500,0.03,Yes
TRPM5,16,14,500,0.03,No
BICRA,15,14,500,0.03,No
TNNI3K,14,14,500,0.03,No
NBAS,16,14,500,0.03,No
SNTG1,14,14,500,0.03,No
ANLN,14,14,500,0.03,No
CCDC40,14,14,500,0.03,No
RIF1,15,14,500,0.03,No
YEATS2,15,14,500,0.03,No
PCDHB4,15,14,500,0.03,No
PCDHA4,17,14,500,0.03,No
TEX14,14,14,500,0.03,No
YLPM1,16,14,500,0.03,No
PRDM9,17,14,500,0.03,No
ARHGAP31,15,14,500,0.03,No
PLEKHA4,16,14,500,0.03,No
SCAF1,16,14,500,0.03,No
TNN,15,14,500,0.03,No
XYLT1,15,14,500,0.03,No
INF2,17,14,500,0.03,No
LILRA6,14,14,500,0.03,No
GREB1L,16,14,500,0.03,No
COL21A1,16,14,500,0.03,No
CARD11,14,14,500,0.03,Yes
HELZ2,18,14,500,0.03,No
CNTNAP4,16,14,500,0.03,No
TICRR,14,14,500,0.03,No
NLRP12,14,14,500,0.03,No
CADPS2,14,14,500,0.03,No
LMTK3,15,14,500,0.03,No
XKR4,16,14,500,0.03,No
SLCO6A1,16,14,500,0.03,No
PRICKLE1,15,14,500,0.03,No
ASXL1,18,14,500,0.03,Yes
TET3,15,14,500,0.03,Yes
JMJD1C,14,14,500,0.03,No
SEMA3D,15,14,500,0.03,No
FRYL,15,14,500,0.03,No
KIF4B,16,14,500,0.03,No
SPATA31E1,16,14,500,0.03,No
DCAF8L2,17,14,500,0.03,No
OR51I2,14,14,500,0.03,No
ZFP62,15,14,500,0.03,No
SHISA9,15,14,500,0.03,No
ABCA1,15,13,500,0.03,No
CDH2,13,13,500,0.03,No
CDH12,15,13,500,0.03,No
CHD4,18,13,500,0.03,Yes
CHRNA4,15,13,500,0.03,No
CLTC,13,13,500,0.03,Yes
COL4A2,18,13,500,0.03,No
COL5A2,13,13,500,0.03,No
CSPG4,14,13,500,0.03,No
ATN1,17,13,500,0.03,No
FSHR,13,13,500,0.03,No
GLI2,14,13,500,0.03,No
GRID2,15,13,500,0.03,No
GRIN1,14,13,500,0.03,No
GRM6,13,13,500,0.03,No
HCFC1,22,13,500,0.03,No
FOXA1,14,13,500,0.03,Yes
KCNG1,16,13,500,0.03,No
KCNJ12,13,13,500,0.03,No
LCT,17,13,500,0.03,No
MAP1B,13,13,500,0.03,No
MSH3,14,13,500,0.03,Yes
MYLK,13,13,500,0.03,No
MYO5B,16,13,500,0.03,No
MYO7B,14,13,500,0.03,No
TONSL,15,13,500,0.03,No
NOS3,14,13,500,0.03,No
NOTCH3,14,13,500,0.03,Yes
NTRK1,13,13,500,0.03,Yes
PAPPA,14,13,500,0.03,No
PCDH7,14,13,500,0.03,No
ABCB1,14,13,500,0.03,No
RASGRF1,14,13,500,0.03,No
SCN9A,15,13,500,0.03,No
SLC8A1,15,13,500,0.03,No
SORL1,16,13,500,0.03,No
SOX11,14,13,500,0.03,No
SPTAN1,15,13,500,0.03,No
TEP1,15,13,500,0.03,No
THBS2,16,13,500,0.03,No
TP53BP1,14,13,500,0.03,Yes
IRS4,16,13,500,0.03,Yes
CILP,14,13,500,0.03,No
MYOM1,14,13,500,0.03,No
LATS1,13,13,500,0.03,Yes
KCNB2,14,13,500,0.03,No
AKAP6,17,13,500,0.03,No
KEAP1,14,13,500,0.03,Yes
HEPH,18,13,500,0.03,No
